congress,years,gridlock_pct_grid4,trend_5congress_centered
80,1947-48,26.09,34.38
81,1949-50,37.04,34.53
82,1951-52,40,37.19
83,1953-54,35,39.17
84,1955-56,47.83,41.24
85,1957-58,36,41.35
86,1959-60,47.37,39.80
87,1961-62,40.54,35.95
88,1963-64,27.27,35.00
89,1965-66,28.57,33.22
90,1967-68,31.25,32.89
91,1969-70,38.46,36.08
92,1971-72,38.89,38.85
93,1973-74,43.24,38.48
94,1975-76,42.42,41.11
95,1977-78,29.41,44.54
96,1979-80,51.61,44.85
97,1981-82,56,43.04
98,1983-84,44.83,45.49
99,1985-86,33.33,42.53
100,1987-88,41.67,44.38
101,1989-90,36.84,46.66
102,1991-92,65.22,48.42
103,1993-94,56.25,52.08
104,1995-96,42.11,59.00
105,1997-98,60,52.82
106,1999-2000,71.43,53.65
107,2001-02,34.29,55.23
108,2003-04,60.42,52.88
109,2005-06,50,47.35
110,2007-08,48.28,54.61
111,2009-10,43.75,57.26
112,2011-12,70.59,59.64
113,2013-14,73.68,62.39
114,2015-16,61.91,66.64
115,2017-18,62,62.15
116,2019-20,65,59.27
117,2021-22,48.15,58.38
