congress,years,bills_introduced,public_laws_enacted,enactment_rate_pct
91,1969-1970,26303,695,2.64
92,1971-1972,22969,607,2.64
93,1973-1974,23396,649,2.77
94,1975-1976,21096,588,2.79
95,1977-1978,19387,634,3.27
96,1979-1980,12583,613,4.87
97,1981-1982,11490,473,4.12
98,1983-1984,10559,623,5.90
99,1985-1986,9885,664,6.72
100,1987-1988,9158,713,7.79
101,1989-1990,9130,650,7.12
102,1991-1992,8094,590,7.29
103,1993-1994,8544,465,5.44
104,1995-1996,6808,333,4.89
105,1997-1998,7730,394,5.10
106,1999-2000,9158,580,6.33
107,2001-2002,9130,377,4.13
108,2003-2004,8582,498,5.80
109,2005-2006,10545,482,4.57
110,2007-2008,14042,460,3.28
111,2009-2010,10612,383,3.61
112,2011-2012,8555,283,3.31
113,2013-2014,9068,296,3.26
114,2015-2016,10223,329,3.22
115,2017-2018,11416,442,3.87
116,2019-2020,14342,344,2.40
117,2021-2022,15234,362,2.38
118,2023-2024,16554,274,1.66
