year,n_orders,mean_structural_weight_pct,median_structural_weight_pct,provisional
1969,61,8.34,6.25,FALSE
1970,72,8.22,6.25,FALSE
1971,63,8.55,6.25,FALSE
1972,55,9.70,6.25,FALSE
1973,64,8.50,6.25,FALSE
1974,69,8.46,6.25,FALSE
1975,67,7.60,6.25,FALSE
1976,56,8.50,6.25,FALSE
1977,83,7.02,6.25,FALSE
1978,78,6.78,5.56,FALSE
1979,77,9.54,0.00,FALSE
1980,73,10.37,0.00,FALSE
1981,76,17.28,6.25,FALSE
1982,63,8.45,0.00,FALSE
1983,57,10.26,0.00,FALSE
1984,41,8.67,0.00,FALSE
1985,45,15.12,0.00,FALSE
1986,37,17.19,6.25,FALSE
1987,43,15.99,12.50,FALSE
1988,40,15.03,6.25,FALSE
1989,36,19.11,12.50,FALSE
1990,43,16.12,16.67,FALSE
1991,46,18.03,13.39,FALSE
1992,39,17.34,16.67,FALSE
1993,63,23.23,16.67,FALSE
1994,54,20.27,16.67,FALSE
1995,40,20.84,16.67,FALSE
1996,49,11.38,6.25,FALSE
1997,38,11.65,9.16,FALSE
1998,38,14.73,16.67,FALSE
1999,35,18.36,18.75,FALSE
2000,41,21.13,21.43,FALSE
2001,66,21.73,18.75,FALSE
2002,31,18.73,16.67,FALSE
2003,41,20.10,16.67,FALSE
2004,45,15.92,14.29,FALSE
2005,26,13.94,12.50,FALSE
2006,27,18.64,16.67,FALSE
2007,32,19.02,18.34,FALSE
2008,30,18.86,16.67,FALSE
2009,44,20.90,20.71,FALSE
2010,35,24.82,21.43,FALSE
2011,34,25.31,25.00,FALSE
2012,39,26.23,27.27,FALSE
2013,20,23.17,19.05,FALSE
2014,31,22.34,20.00,FALSE
2015,29,22.26,21.43,FALSE
2016,42,19.63,18.75,FALSE
2017,62,22.14,17.71,FALSE
2018,37,23.81,25.00,FALSE
2019,45,25.42,27.78,FALSE
2020,69,26.72,27.78,FALSE
2021,91,29.53,30.00,FALSE
2022,29,30.05,27.78,FALSE
2023,24,32.82,35.71,FALSE
2024,19,25.30,25.00,FALSE
2025,238,37.93,38.89,FALSE
2026,43,29.16,27.27,TRUE
