year,pct_agree_officials_dont_care_weighted,pct_agree_officials_dont_care_unweighted,n_valid_responses,n_total_rows_in_year,note
1952,35.8,35.8,1727,1899,
1956,27.0,27.0,1700,1762,
1960,25.0,25.4,1126,1181,Lowest reading in the series -- highest confidence in official responsiveness on record
1964,37.0,37.0,1525,1571,
1966,37.8,37.8,1173,1291,
1968,43.7,43.7,1312,1557,
1970,48.7,48.7,1457,1507,
1972,50.1,50.1,2634,2705,
1974,52.2,52.3,1501,1575,
1976,53.7,53.5,1817,2248,
1978,53.0,53.0,2179,2304,
1980,54.5,54.5,1335,1614,
1982,48.6,48.6,1351,1418,
1984,42.6,42.6,2216,2257,"Local dip, not a peak -- directly contradicts the Obs 8 stub's '1984 peak' framing for this item"
1986,55.0,55.0,1028,2176,
1988,51.0,51.0,1758,2040,
1990,64.0,64.0,1948,1980,
1992,52.5,52.4,2231,2485,
1994,66.2,66.2,1759,1795,
1996,61.4,60.8,1526,1714,
1998,61.7,60.0,1274,1281,
2000,56.7,54.9,1547,1807,
2002,31.5,28.9,1341,1511,Sharp one-year drop -- consistent with the post-9/11 'rally round the flag' rise in trust/efficacy
2004,50.3,50.1,1062,1212,
2008,60.2,60.0,1040,2322,
2012,61.3,60.9,3006,5914,
2016,59.1,59.4,3634,4270,
2020,68.2,66.7,7412,8280,Highest reading prior to 2024
2024,71.0,71.2,4928,5521,Highest verified reading in the series
